T,X,Y,Z,RX,RY,RZ
1332754,0.712890625,0.04736328125,0.7001953125,-0.00244140625,0.00213623046875,-6.103515625e-05
1332759,0.71044921875,0.0546875,0.6923828125,-0.0025634765625,0.0018310546875,-0.0003662109375
1332764,0.70654296875,0.05029296875,0.70263671875,-0.00244140625,0.0018310546875,-0.0003662109375
1332768,0.7119140625,0.04638671875,0.7041015625,-0.00250244140625,0.00213623046875,-0.000244140625
1332773,0.70703125,0.05615234375,0.69287109375,-0.0023193359375,0.001708984375,-0.0003662109375
1332778,0.70458984375,0.04931640625,0.7158203125,-0.00238037109375,0.00213623046875,-0.00042724609375
1332783,0.70458984375,0.04833984375,0.7080078125,-0.0025634765625,0.00177001953125,-0.00042724609375
1332788,0.708984375,0.04833984375,0.701171875,-0.00238037109375,0.001953125,-0.00018310546875
1332792,0.7177734375,0.0458984375,0.7060546875,-0.00238037109375,0.001708984375,-0.00042724609375
1332797,0.7060546875,0.05029296875,0.70458984375,-0.0025634765625,0.001708984375,-0.0001220703125
1332801,0.70654296875,0.0439453125,0.701171875,-0.00262451171875,0.001953125,-0.00018310546875
1332806,0.708984375,0.05224609375,0.70654296875,-0.00262451171875,0.00164794921875,0.00018310546875
1332810,0.69970703125,0.0400390625,0.6943359375,-0.00262451171875,0.001953125,-0.0001220703125
1332815,0.7109375,0.05078125,0.70361328125,-0.00250244140625,0.00189208984375,-0.00067138671875
1332819,0.7080078125,0.04736328125,0.7021484375,-0.0025634765625,0.00189208984375,-0.0009765625
1332824,0.71240234375,0.05517578125,0.697265625,-0.00244140625,0.001953125,-0.0008544921875
1332828,0.70654296875,0.0498046875,0.705078125,-0.00238037109375,0.00177001953125,-0.0008544921875
1332833,0.70068359375,0.05615234375,0.70263671875,-0.00262451171875,0.0018310546875,-0.0001220703125
1332837,0.70703125,0.05029296875,0.70654296875,-0.00262451171875,0.00189208984375,6.103515625e-05
1332841,0.70703125,0.04931640625,0.703125,-0.002685546875,0.0018310546875,-0.00018310546875
1332846,0.70068359375,0.0419921875,0.68359375,-0.0025634765625,0.001708984375,-0.00018310546875
1332850,0.708984375,0.04541015625,0.703125,-0.0025634765625,0.001708984375,-0.0003662109375
1332855,0.705078125,0.0478515625,0.69384765625,-0.00274658203125,0.00164794921875,-6.103515625e-05
1332859,0.70458984375,0.048828125,0.69873046875,-0.0025634765625,0.0020751953125,-0.00030517578125
1332863,0.70849609375,0.044921875,0.7021484375,-0.002685546875,0.0018310546875,-0.00048828125
1332868,0.70361328125,0.05078125,0.7060546875,-0.00250244140625,0.0018310546875,-0.0006103515625
1332872,0.70263671875,0.0380859375,0.70361328125,-0.00262451171875,0.00189208984375,-0.00042724609375
1332877,0.703125,0.046875,0.6943359375,-0.00244140625,0.0018310546875,-0.0001220703125
1332882,0.71142578125,0.0439453125,0.703125,-0.0025634765625,0.00201416015625,-0.00018310546875
1332887,0.70556640625,0.0537109375,0.6953125,-0.0025634765625,0.00152587890625,-0.0006103515625
1332892,0.71044921875,0.04638671875,0.72216796875,-0.00244140625,0.00201416015625,-0.00048828125
1332896,0.70947265625,0.04296875,0.689453125,-0.00250244140625,0.00164794921875,-0.0001220703125
1332901,0.70361328125,0.04736328125,0.6982421875,-0.00250244140625,0.0018310546875,0.000244140625
1332905,0.70703125,0.04248046875,0.70458984375,-0.0025634765625,0.001953125,6.103515625e-05
1332909,0.71875,0.0400390625,0.7080078125,-0.00262451171875,0.001708984375,0.0
1332913,0.7001953125,0.04541015625,0.701171875,-0.0025634765625,0.0015869140625,-0.000244140625
1332917,0.70263671875,0.0478515625,0.69677734375,-0.00238037109375,0.00189208984375,-0.00048828125
1332921,0.70556640625,0.04296875,0.705078125,-0.0025634765625,0.00152587890625,-0.00042724609375
1332926,0.69873046875,0.04345703125,0.7060546875,-0.0025634765625,0.0020751953125,-0.0003662109375
1332930,0.7099609375,0.05126953125,0.69287109375,-0.0025634765625,0.0020751953125,-6.103515625e-05
1332935,0.70556640625,0.0439453125,0.6865234375,-0.0025634765625,0.00177001953125,-0.00054931640625
1332939,0.705078125,0.04248046875,0.7060546875,-0.00244140625,0.00213623046875,-0.00030517578125
1332944,0.7109375,0.05126953125,0.7001953125,-0.00274658203125,0.00177001953125,-0.00067138671875
1332948,0.69482421875,0.046875,0.69677734375,-0.0025634765625,0.0018310546875,-0.00042724609375
1332953,0.71142578125,0.04736328125,0.697265625,-0.00250244140625,0.00177001953125,-0.00018310546875
1332957,0.7041015625,0.05029296875,0.689453125,-0.00250244140625,0.00164794921875,-0.00042724609375
1332961,0.705078125,0.046875,0.705078125,-0.0025634765625,0.0018310546875,-0.000244140625
1332965,0.69677734375,0.046875,0.6904296875,-0.0025634765625,0.00177001953125,-0.00018310546875
1332970,0.70849609375,0.0478515625,0.69482421875,-0.0025634765625,0.00164794921875,-0.00030517578125
1332974,0.7021484375,0.0478515625,0.71484375,-0.0025634765625,0.00201416015625,-0.000244140625
1332979,0.697265625,0.05126953125,0.69482421875,-0.0025634765625,0.0015869140625,-0.0003662109375
1332984,0.7099609375,0.05419921875,0.69970703125,-0.00250244140625,0.00250244140625,-6.103515625e-05
1332989,0.70849609375,0.041015625,0.701171875,-0.00262451171875,0.0018310546875,-0.00048828125
1332994,0.70556640625,0.04931640625,0.68408203125,-0.00244140625,0.001953125,-0.00042724609375
1332998,0.70947265625,0.05078125,0.70654296875,-0.00274658203125,0.00213623046875,-0.0006103515625
1333003,0.69921875,0.04541015625,0.70263671875,-0.002685546875,0.00177001953125,-0.000732421875
1333007,0.7041015625,0.04443359375,0.7001953125,-0.0025634765625,0.00213623046875,-0.00079345703125
1333011,0.70654296875,0.04296875,0.6953125,-0.00238037109375,0.0020751953125,-0.00042724609375
1333015,0.7041015625,0.0517578125,0.703125,-0.00250244140625,0.00152587890625,-0.00079345703125
1333020,0.7001953125,0.04638671875,0.70654296875,-0.0025634765625,0.00177001953125,-0.00042724609375
1333024,0.701171875,0.05078125,0.697265625,-0.00244140625,0.00152587890625,0.00018310546875
1333029,0.69677734375,0.04638671875,0.7001953125,-0.00262451171875,0.00140380859375,0.000732421875
1333033,0.71044921875,0.052734375,0.70166015625,-0.00262451171875,0.00189208984375,0.0006103515625
1333038,0.70849609375,0.03759765625,0.7041015625,-0.00244140625,0.0018310546875,-0.000244140625
1333042,0.71142578125,0.046875,0.70166015625,-0.00225830078125,0.0015869140625,-0.00103759765625
1333046,0.70556640625,0.04345703125,0.69482421875,-0.0025634765625,0.00201416015625,-0.0010986328125
1333050,0.70361328125,0.0380859375,0.70263671875,-0.00238037109375,0.001953125,-0.00054931640625
1333055,0.71630859375,0.0517578125,0.6884765625,-0.00262451171875,0.001953125,-0.0003662109375
1333059,0.70654296875,0.05078125,0.712890625,-0.0025634765625,0.00225830078125,-0.00030517578125
1333063,0.71044921875,0.046875,0.6943359375,-0.00262451171875,0.001953125,-0.00048828125
1333067,0.70703125,0.04638671875,0.6962890625,-0.00238037109375,0.00189208984375,-0.00067138671875
1333071,0.7060546875,0.05078125,0.69873046875,-0.00262451171875,0.00164794921875,-0.00048828125
1333075,0.7060546875,0.044921875,0.720703125,-0.00244140625,0.00164794921875,-6.103515625e-05
1333080,0.70556640625,0.04541015625,0.69677734375,-0.002685546875,0.0018310546875,0.00042724609375
1333085,0.70556640625,0.0458984375,0.70166015625,-0.00250244140625,0.00164794921875,-0.0001220703125
1333090,0.7109375,0.04150390625,0.69970703125,-0.00244140625,0.00177001953125,-0.000732421875
1333095,0.7041015625,0.04541015625,0.6982421875,-0.0025634765625,0.0013427734375,-0.0006103515625
1333099,0.70654296875,0.04638671875,0.6865234375,-0.00250244140625,0.001953125,-6.103515625e-05
1333104,0.70458984375,0.0400390625,0.7109375,-0.00262451171875,0.00201416015625,-0.0003662109375
1333108,0.70556640625,0.046875,0.701171875,-0.0028076171875,0.00164794921875,-0.00042724609375
1333113,0.70654296875,0.0439453125,0.7021484375,-0.00244140625,0.00189208984375,-0.000732421875
1333117,0.69775390625,0.05078125,0.70361328125,-0.00250244140625,0.0018310546875,-0.00054931640625
1333122,0.71044921875,0.0458984375,0.689453125,-0.00250244140625,0.001708984375,-0.00018310546875
1333126,0.70751953125,0.0439453125,0.69873046875,-0.0025634765625,0.00213623046875,-6.103515625e-05
1333131,0.70849609375,0.044921875,0.6982421875,-0.0025634765625,0.00164794921875,-0.00042724609375
1333135,0.7001953125,0.0498046875,0.70361328125,-0.00250244140625,0.001953125,-0.00030517578125
1333139,0.70263671875,0.04296875,0.68994140625,-0.00238037109375,0.00189208984375,-0.00030517578125
1333143,0.705078125,0.0400390625,0.69921875,-0.00244140625,0.001708984375,-0.0003662109375
1333148,0.70556640625,0.05078125,0.701171875,-0.0023193359375,0.00201416015625,-0.0003662109375
1333152,0.70947265625,0.0517578125,0.71484375,-0.00262451171875,0.0018310546875,-0.00048828125
1333157,0.70947265625,0.048828125,0.70361328125,-0.00244140625,0.0018310546875,-0.00054931640625
1333161,0.71240234375,0.03955078125,0.69287109375,-0.00225830078125,0.001953125,-0.0003662109375
1333165,0.70361328125,0.04833984375,0.69482421875,-0.00244140625,0.00152587890625,-0.00030517578125
1333169,0.7099609375,0.04150390625,0.68994140625,-0.00262451171875,0.0020751953125,-0.00018310546875
1333174,0.693359375,0.05322265625,0.703125,-0.0025634765625,0.001708984375,-6.103515625e-05
1333178,0.70556640625,0.04443359375,0.6923828125,-0.00250244140625,0.0018310546875,-0.00030517578125
1333182,0.703125,0.046875,0.6943359375,-0.00244140625,0.001953125,-0.00018310546875
1333188,0.705078125,0.037109375,0.68896484375,-0.00250244140625,0.00164794921875,-0.0003662109375
1333192,0.7001953125,0.044921875,0.69189453125,-0.0025634765625,0.00189208984375,-0.00018310546875
1333196,0.7138671875,0.05322265625,0.70751953125,-0.00244140625,0.00189208984375,-0.000244140625
1333200,0.70703125,0.0478515625,0.69970703125,-0.00250244140625,0.00177001953125,-0.00030517578125
1333205,0.7060546875,0.04296875,0.6953125,-0.00250244140625,0.001953125,-0.00030517578125
1333209,0.7099609375,0.04150390625,0.708984375,-0.00238037109375,0.00164794921875,-0.0006103515625
1333214,0.70849609375,0.0478515625,0.6962890625,-0.002685546875,0.00189208984375,-0.00018310546875
1333219,0.71142578125,0.05029296875,0.70263671875,-0.00250244140625,0.001953125,-0.00030517578125
1333223,0.6953125,0.04345703125,0.6962890625,-0.00244140625,0.00164794921875,-0.00030517578125
1333228,0.70849609375,0.03759765625,0.6923828125,-0.0025634765625,0.001953125,-0.00018310546875
1333232,0.71240234375,0.05126953125,0.69482421875,-0.00244140625,0.00189208984375,-0.00054931640625
1333236,0.70751953125,0.0517578125,0.69384765625,-0.0025634765625,0.0015869140625,-0.0003662109375
1333240,0.71630859375,0.04345703125,0.697265625,-0.00238037109375,0.00189208984375,-0.0001220703125
1333245,0.71142578125,0.0478515625,0.70263671875,-0.00238037109375,0.00164794921875,-0.0006103515625
1333249,0.712890625,0.04541015625,0.7041015625,-0.0025634765625,0.001953125,-0.0001220703125
