"DataStream_x","DataStream_y"
1411,9.0579,
1412,9.5622,
1413,8.753,
1414,13.5259,
1415,9.7603,
1416,9.0489,
1417,9.471,
1418,9.539,
1419,12.0855,
1420,9.1784,
1421,9.6672,
1422,9.1803,
1423,12.2068,
1424,10.2406,
1425,8.9684,
1426,9.0906,
1427,9.1659,
1428,12.0091,
1429,10.3803,
1430,9.0535,
1431,9.7501,
1432,10.3284,
1433,11.8583,
1434,9.5871,
1435,10.2582,
1436,8.8793,
1437,10.6794,
1438,8.9058,
1439,10.3348,
1440,10.9951,
1441,13.3608,
1442,9.5546,
1443,10.561,
1444,10.1536,
1445,11.5235,
1446,9.5424,
1447,9.8156,
1448,9.0352,
1449,12.0532,
1450,14.0889,
1451,10.8006,
1452,8.8198,
1453,10.695,
1454,9.0716,
1455,12.104,
1456,10.0755,
1457,9.4292,
1458,10.212,
1459,12.1568,
1460,10.5612,
1461,9.8527,
1462,9.5893,
1463,9.0291,
1464,11.2748,
1465,11.7355,
1466,10.4107,
1467,9.6749,
1468,9.5582,
1469,10.0573,
1470,11.6914,
1471,10.4786,
1472,9.7639,
1473,10.4823,
1474,10.9502,
1475,9.9671,
1476,15.3168,
1477,9.21,
1478,10.9118,
1479,9.2957,
1480,13.5871,
1481,9.5446,
1482,9.246,
1483,12.5898,
1484,11.9283,
1485,9.7659,
1486,9.313,
1487,9.911,
1488,9.0746,
1489,12.7645,
1490,9.1728,
1491,9.0913,
1492,10.686,
1493,9.8352,
1494,10.1864,
1495,12.3217,
1496,11.5199,
1497,9.681,
1498,9.1049,
1499,10.0714,
1500,12.2842,
1501,9.5864,
1502,9.8918,
1503,8.8133,
1504,12.2725,
1505,10.2183,
1506,8.9832,
1507,9.5951,
1508,9.0573,
1509,9.393,
1510,10.7794,
1511,12.8588,
1512,10.0174,
1513,11.1181,
1514,11.1221,
1515,14.9472,
1516,9.9153,
1517,8.8869,
1518,9.1872,
1519,11.7515,
1520,9.4712,
1521,8.9748,
1522,9.5245,
1523,9.515,
1524,11.2062,
1525,9.7563,
1526,9.0587,
1527,9.0073,
1528,10.2831,
1529,9.0264,
1530,12.7548,
1531,9.8961,
1532,9.1106,
1533,10.9114,
1534,10.5065,
1535,11.5198,
1536,10.2813,
1537,10.617,
1538,8.9534,
1539,9.0013,
1540,9.5142,
1541,11.7723,
1542,9.9883,
1543,9.2391,
1544,10.118,
1545,11.0337,
1546,11.4465,
1547,9.4341,
1548,9.1106,
1549,9.1548,
1550,13.9208,
1551,10.046,
1552,9.2536,
1553,9.936,
1554,9.7719,
1555,9.379,
1556,10.1878,
1557,10.7105,
1558,9.0842,
1559,9.4191,
1560,9.0141,
1561,12.335,
1562,9.9278,
1563,9.1961,
1564,9.9117,
1565,10.0272,
1566,11.9134,
1567,10.7187,
1568,9.1708,
1569,9.5552,
1570,9.4787,
1571,15.322,
1572,10.6418,
1573,9.5078,
1574,9.819,
1575,11.576,
1576,9.8001,
1577,9.7774,
1578,9.2473,
1579,10.6867,
1580,15.9112,
1581,10.1162,
1582,8.9817,
1583,11.2512,
1584,15.1682,
1585,10.8115,
1586,9.4442,
1587,9.8611,
1588,11.5795,
1589,10.2682,
1590,9.4402,
1591,10.0977,
1592,9.4658,
1593,12.9212,
1594,11.8113,
1595,9.7164,
1596,9.2884,
1597,10.1252,
1598,9.3636,
1599,14.0876,
1600,9.8987,
1601,9.2815,
1602,10.3391,
1603,13.694,
1604,9.8906,
1605,9.5037,
1606,9.6413,
1607,9.8466,
1608,14.7018,
1609,9.4866,
1610,10.7779,
1611,10.2562,
1612,14.811,
1613,9.5134,
1614,9.5353,
1615,9.5485,
1616,11.6787,
1617,9.9285,
1618,9.324,
1619,10.0757,
1620,9.2643,
1621,9.1438,
1622,12.9866,
1623,9.6066,
1624,9.0325,
1625,9.9562,
1626,9.2364,
1627,11.7559,
1628,9.7735,
1629,9.1484,
1630,10.7801,
1631,9.5226,
1632,11.8481,
1633,10.7949,
1634,9.5168,
1635,9.2184,
1636,10.6178,
1637,10.4565,
1638,10.3662,
1639,10.102,
1640,9.3234,
1641,14.5914,
1642,12.7907,
1643,10.1777,
1644,9.5484,
1645,10.0812,
1646,10.7037,
1647,14.3801,
1648,9.4942,
1649,9.8912,
1650,9.6193,
1651,12.0855,
1652,9.7358,
1653,9.5071,
1654,10.196,
1655,10.3462,
1656,12.8392,
1657,10.0769,
1658,9.3759,
1659,9.408,
1660,11.9437,
1661,9.8281,
1662,9.4594,
1663,9.3893,
1664,9.8112,
1665,11.593,
1666,9.6836,
1667,11.041,
1668,9.9052,
1669,12.0537,
1670,13.9805,
1671,10.6258,
1672,10.3256,
1673,9.5622,
1674,12.8988,
1675,11.6673,
1676,9.4562,
1677,9.4555,
1678,9.4485,
